COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,DateTime,
81,0,463,4556.923077,4004.102564,3846.666667,4330.769231,4435.384615,4354.358974,4312.820513,4458.461538,4562.051282,4112.307692,4269.230769,4492.820513,3877.948718,4189.230769,1664,1692,10.931,10.90781116,0,0,0,0,2/8/15 6:13
82,0,441,4553.846154,4004.615385,3847.179487,4334.871795,4419.487179,4352.820513,4312.820513,4458.974359,4556.923077,4103.589744,4277.948718,4482.564103,3875.897436,4176.410256,1663,1692,10.939,10.90781116,0,0,0,0,2/8/15 6:13
83,0,436,4557.435897,4006.153846,3853.333333,4337.948718,4419.487179,4345.641026,4312.820513,4457.435897,4554.871795,4112.820513,4274.871795,4486.666667,3878.974359,4155.384615,1663,1692,10.947,10.90781116,0,0,0,0,2/8/15 6:13
84,0,386,4574.871795,4012.307692,3860.512821,4337.435897,4439.487179,4358.974359,4312.820513,4456.923077,4554.871795,4121.538462,4265.128205,4487.692308,3881.025641,4167.179487,1664,1690,10.955,10.90781116,0,0,0,0,2/8/15 6:13
85,0,463,4587.692308,4014.358974,3866.666667,4329.230769,4437.435897,4368.205128,4312.820513,4461.538462,4562.564103,4107.179487,4271.794872,4489.74359,3878.974359,4162.051282,1663,1691,10.961,10.90781116,0,0,0,0,2/8/15 6:13
86,0,441,4577.948718,4007.179487,3864.615385,4324.615385,4423.589744,4365.641026,4312.307692,4462.051282,4571.282051,4098.461538,4281.538462,4495.897436,3876.410256,4144.615385,1664,1690,10.969,10.90781116,0,0,0,0,2/8/15 6:13
87,0,436,4563.076923,4012.820513,3858.974359,4336.923077,4431.282051,4365.641026,4313.333333,4453.846154,4562.051282,4107.179487,4280,4493.846154,3878.974359,4172.307692,1663,1691,10.977,10.90781116,0,0,0,0,2/8/15 6:13
88,0,386,4565.641026,4021.538462,3866.153846,4346.153846,4431.282051,4361.025641,4312.307692,4451.282051,4552.820513,4112.307692,4276.410256,4488.205128,3882.564103,4191.282051,1664,1692,10.985,10.90781116,0,0,0,0,2/8/15 6:13
89,0,463,4584.102564,4015.897436,3877.948718,4337.435897,4421.538462,4356.923077,4312.307692,4456.923077,4560.512821,4105.641026,4274.871795,4489.74359,3879.487179,4167.692308,1663,1692,10.994,10.90781116,0,0,0,0,2/8/15 6:13
90,0,441,4604.102564,4024.615385,3878.461538,4335.897436,4444.615385,4370.25641,4317.435897,4460,4570.769231,4104.102564,4276.410256,4496.410256,3884.615385,4160.512821,1664,1692,11.002,10.90781116,0,0,0,0,2/8/15 6:13
91,0,436,4603.076923,4044.615385,3871.794872,4347.692308,4470.25641,4374.871795,4321.538462,4458.461538,4570.769231,4108.205128,4283.589744,4493.333333,3897.435897,4170.25641,1664,1692,11.009,10.90781116,0,0,0,0,2/8/15 6:13
92,0,386,4583.589744,4044.102564,3875.897436,4354.358974,4452.820513,4358.461538,4319.487179,4457.948718,4561.025641,4107.692308,4283.076923,4473.846154,3890.769231,4173.846154,1664,1693,11.016,10.90781116,0,0,0,0,2/8/15 6:13
93,0,463,4579.487179,4039.487179,3883.589744,4351.282051,4435.384615,4355.384615,4319.487179,4458.461538,4556.410256,4108.717949,4269.230769,4455.384615,3875.897436,4183.589744,1664,1692,11.024,10.90781116,0,0,0,0,2/8/15 6:13
94,0,441,4601.538462,4050.25641,3872.820513,4346.666667,4441.538462,4374.871795,4320,4456.923077,4565.641026,4116.923077,4268.717949,4439.487179,3879.487179,4191.794872,1664,1692,11.032,11.03291893,0,0,0,0,2/8/15 6:13
95,0,436,4614.358974,4054.871795,3862.051282,4344.102564,4432.820513,4386.153846,4314.871795,4461.025641,4569.74359,4113.846154,4280,4417.435897,3885.641026,4175.897436,1665,1691,11.04,11.03291893,0,0,0,0,2/8/15 6:13
96,0,386,4604.615385,4050.25641,3871.282051,4342.564103,4417.435897,4382.051282,4310.769231,4473.846154,4568.717949,4097.435897,4274.871795,4404.102564,3880.512821,4143.589744,1664,1693,11.047,11.03291893,0,0,0,0,2/8/15 6:13
97,0,463,4596.410256,4051.794872,3882.051282,4343.076923,4430.25641,4383.589744,4312.820513,4475.384615,4572.307692,4097.435897,4267.692308,4400,3875.897436,4135.897436,1664,1692,11.055,11.03291893,0,0,0,0,2/8/15 6:13
98,0,441,4602.051282,4051.282051,3878.974359,4340.512821,4446.666667,4386.153846,4313.846154,4455.897436,4562.564103,4108.717949,4274.358974,4380.512821,3877.435897,4161.538462,1663,1693,11.063,11.06419563,0,0,0,0,2/8/15 6:13
99,0,436,4602.564103,4052.307692,3873.846154,4344.102564,4442.051282,4375.384615,4314.871795,4448.205128,4553.333333,4107.179487,4281.538462,4354.871795,3881.538462,4191.794872,1664,1692,11.071,11.06419563,0,0,0,0,2/8/15 6:13
100,0,386,4598.974359,4059.487179,3869.74359,4357.435897,4441.538462,4371.282051,4319.487179,4458.974359,4566.153846,4102.051282,4280.512821,4348.205128,3884.615385,4194.871795,1663,1692,11.079,11.06419563,0,0,0,0,2/8/15 6:13
101,0,463,4605.641026,4058.461538,3866.666667,4359.487179,4441.025641,4372.307692,4322.051282,4455.897436,4568.205128,4101.538462,4272.820513,4346.666667,3884.615385,4161.538462,1663,1693,11.087,11.06419563,0,0,0,0,2/8/15 6:13
102,0,441,4610.25641,4046.666667,3863.589744,4347.179487,4427.179487,4353.846154,4321.025641,4441.025641,4541.025641,4099.487179,4261.538462,4323.589744,3875.384615,4136.410256,1663,1691,11.094,11.06419563,0,0,0,0,2/8/15 6:13
103,0,436,4593.846154,4035.384615,3863.076923,4336.410256,4423.076923,4342.051282,4321.025641,4440,4528.717949,4099.487179,4262.564103,4292.307692,3862.051282,4143.076923,1663,1691,11.102,11.06419563,0,0,0,0,2/8/15 6:13
104,0,386,4568.205128,4033.846154,3864.615385,4334.871795,4437.435897,4358.974359,4321.538462,4446.153846,4551.282051,4104.102564,4268.205128,4281.538462,3864.615385,4160,1664,1691,11.11,11.06419563,0,0,0,0,2/8/15 6:13
105,0,463,4569.230769,4039.487179,3856.410256,4333.846154,4452.820513,4376.923077,4321.025641,4448.205128,4572.307692,4111.282051,4261.025641,4277.948718,3878.974359,4168.205128,1664,1693,11.118,11.06419563,0,0,0,0,2/8/15 6:13
106,0,441,4593.846154,4046.666667,3848.717949,4340,4459.487179,4380.512821,4321.025641,4444.102564,4570.25641,4121.538462,4263.076923,4268.205128,3880.512821,4164.615385,1664,1692,11.126,11.06419563,0,0,0,0,2/8/15 6:13
107,0,436,4605.641026,4050.769231,3864.615385,4349.74359,4458.974359,4381.538462,4321.538462,4441.025641,4563.076923,4128.205128,4278.461538,4263.076923,3876.410256,4157.435897,1663,1693,11.134,11.06419563,0,0,0,0,2/8/15 6:13
108,0,386,4600,4050.25641,3887.692308,4346.153846,4456.410256,4388.717949,4321.025641,4447.692308,4571.282051,4122.564103,4277.948718,4254.871795,3877.948718,4166.666667,1664,1692,11.141,11.06419563,0,0,0,0,2/8/15 6:13
109,0,463,4600.512821,4052.307692,3882.051282,4341.025641,4461.538462,4391.282051,4321.025641,4451.794872,4574.358974,4108.717949,4265.641026,4237.435897,3881.538462,4188.205128,1663,1693,11.149,11.06419563,0,0,0,0,2/8/15 6:13
110,0,441,4602.051282,4063.076923,3863.589744,4350.769231,4466.666667,4384.102564,4322.564103,4442.564103,4558.461538,4107.179487,4270.25641,4227.692308,3891.282051,4192.307692,1663,1694,11.157,11.1580267,0,0,0,0,2/8/15 6:13
111,0,436,4589.230769,4062.051282,3861.025641,4356.410256,4452.307692,4380.512821,4318.461538,4438.974359,4555.384615,4121.025641,4284.615385,4219.487179,3896.410256,4183.589744,1663,1692,11.165,11.1580267,0,0,0,0,2/8/15 6:13
112,0,386,4581.538462,4039.487179,3867.179487,4336.923077,4438.461538,4392.307692,4312.820513,4444.102564,4569.230769,4125.128205,4279.487179,4206.666667,3886.153846,4161.538462,1662,1693,11.174,11.1580267,0,0,0,0,2/8/15 6:13
113,0,463,4584.102564,4034.358974,3866.153846,4325.128205,4448.205128,4387.692308,4312.307692,4443.589744,4569.74359,4114.358974,4267.692308,4208.717949,3876.410256,4137.435897,1664,1692,11.181,11.1580267,0,0,0,0,2/8/15 6:13
